Quality	#1 ID	#2 ID	#1 String	#2 String
1	0102	0102	人工知能と機械学習は同じ意味ですか	「人工知能=機械学習」ではありません．知的に振る舞うシステムを作る方法は，機械学習だけとは限りません．開発者が，その振る舞いの規則をプログラムとして作成することによっても，それなりに知的に振る舞うシステムは作製できます
0	0102	1001	人工知能と機械学習は同じ意味ですか	この識別器集合に，ある評価用データを与えたとき，識別器が誤る数が$m$個になる確率は二項分布$B(m; \epsilon, L)$となります
0	0102	1110	人工知能と機械学習は同じ意味ですか	各クラスタの正規分布を所属するデータから最尤推定し，その分布から各データが出現する確率の対数値を得て，それを全データについて足し合わせたもの
0	0102	1108	人工知能と機械学習は同じ意味ですか	クラスタ数$k$をあらかじめ与え，各クラスタの平均ベクトルを乱数で生成し（あるいはランダムに$k$個データを選んで平均ベクトルとし），各データを最も近い平均ベクトルを持つクラスタに所属させた後，それぞれのクラスタの平均ベクトルを，その所属するデータから再計算します．この手順を，全クラスタの平均ベクトルが動かなくなるまで繰り返します
0	0102	0505	人工知能と機械学習は同じ意味ですか	生物の神経細胞の仕組みをモデル化したもの
0	0102	1412	人工知能と機械学習は同じ意味ですか	近くのノードは同じクラスになりやすいという仮定
0	0102	0805	人工知能と機械学習は同じ意味ですか	出力層の誤差を求めて，その誤差を中間層に伝播させて学習を行う手法
0	0102	1403	人工知能と機械学習は同じ意味ですか	多次元でも「次元の呪い」にかかっていない，ということ
0	0102	0416	人工知能と機械学習は同じ意味ですか	効率を求める場合や，一部のノードの値しか観測されなかった場合
0	0102	0405	人工知能と機械学習は同じ意味ですか	あるクラス$\omega_i$から特徴ベクトル$\bm{x}$が出現する\ruby{尤}{もっと}もらしさ
0	0102	0917	人工知能と機械学習は同じ意味ですか	LSTM
0	0102	1411	人工知能と機械学習は同じ意味ですか	繰り返しによる誤りの増幅を避けるために，教師ありデータで一度だけ識別器を学習し，その識別器で全ての教師なしデータの識別してしまい，その結果を重み付きで利用してk-NN法による識別器を作る，という単純なアルゴリズム
0	0102	0712	人工知能と機械学習は同じ意味ですか	カーネル関数が正定値関数という条件を満たすとき
0	0102	0505	人工知能と機械学習は同じ意味ですか	関数$\hat{c}(\bm{x})$を，確率分布などの制約を一切考えずに，データだけに注目して構成する方法
0	0102	0105	人工知能と機械学習は同じ意味ですか	人間の認識能力を何らかの手法でモデル (model)化して，コンピュータでその能力を再現しようとする技術
0	0102	0514	人工知能と機械学習は同じ意味ですか	全データに対する誤差を計算してから重みを更新するので，一回の重みの更新に時間がかかり，データ数が多いと収束が遅くなります．また，最大の欠点として，最適化対象の関数がいくつかの局所的最適解をもつとき，その局所的最適解に陥りやすいといわれています
0	0102	1503	人工知能と機械学習は同じ意味ですか	スロットマシン（すなわちこの唯一の状態）で，最大の報酬を得る行為（$K$本のうちどのアームを引くか）
0	0102	0509	人工知能と機械学習は同じ意味ですか	確率的最急勾配法
0	0102	0306	人工知能と機械学習は同じ意味ですか	FIND-Sアルゴリズムに加えて，負例に対して最も一般的な仮説（いかなる事例も正）を最低限特殊化するという処理を加えて，仮説の空間を特殊な論理式と一般的な論理式で挟むことによって，候補を絞り込む方法
0	0102	0507	人工知能と機械学習は同じ意味ですか	学習データが線形分離可能な場合には必ず識別境界面を見つけて停止します
0	0102	0912	人工知能と機械学習は同じ意味ですか	畳み込み層と，プーリング層を交互に配置し，最後のプーリング層の出力を受ける通常のニューラルネットワークを最終出力側に配置したものです
0	0102	0701	人工知能と機械学習は同じ意味ですか	線形のモデルを使ってなるべく学習データに特化しすぎないような識別面を求める方法
0	0102	1303	人工知能と機械学習は同じ意味ですか	単語の系列を入力として，それぞれの単語に品詞を付けるという問題
0	0102	0713	人工知能と機械学習は同じ意味ですか	文書分類やバイオインフォマティックスなど
0	0102	0114	人工知能と機械学習は同じ意味ですか	顧客をクラスタリングした結果から特徴的な属性を見つけ出し，それぞれに適したマーケティングを行うような応用や，製品に対する口コミ文書をクラスタリングして，典型的な不満や要望を抽出する応用
1	0115	0115	パターンマイニングって何ですか	データ中に何度も出現するパターンや，そのパターンに基づいた規則を発見する手法
0	0115	1209	パターンマイニングって何ですか	規則の結論部だけが単独で起こる割合と，条件部が起こったときに結論部が起こる割合との比
0	0115	1501	パターンマイニングって何ですか	教師信号ではないがそれに準ずる情報が，一部の学習データにのみ与えられている状況での学習とみることができるので
0	0115	0610	パターンマイニングって何ですか	学習結果の散らばり具合
0	0115	0311	パターンマイニングって何ですか	集合の乱雑さ
0	0115	0411	パターンマイニングって何ですか	$n_{j}$が0の場合，この特徴値に対する尤度が$0$になり，その結果，この特徴値を含むすべての事例の確率が$0$になる
0	0115	0602	パターンマイニングって何ですか	正解情報$y$が数値であるということ
0	0115	1508	パターンマイニングって何ですか	無限時刻の和で表現される状態価値関数を，隣接時刻間の再帰方程式で表したもの
0	0115	0916	パターンマイニングって何ですか	特化した構造をもつニューラルネットワークとして，中間層の出力が時間遅れで自分自身に戻ってくる構造をもつ
0	0115	0810	パターンマイニングって何ですか	多段階に誤差逆伝播法を適用すると，誤差が小さくなって消失してしまうという問題点
0	0115	0209	パターンマイニングって何ですか	精度と再現率を総合的に判断するために，その調和平均をとったもの
0	0115	0601	パターンマイニングって何ですか	正解付きデータから，「数値特徴を入力として数値を出力する」関数を学習する問題
0	0115	1509	パターンマイニングって何ですか	環境のモデルを持っていない場合，すなわち，状態遷移確率と報酬の確率分布が未知の場合
